gene	transcript	protein_change	score	pvalue	qvalue	info
TTC24	ENST00000368236	.	.	0.0979381443298969	1	PROT_RANGE=434-491
CPA5	ENST00000485477	.	.	1	1	PROT_RANGE=145-422
EPS8L3	ENST00000369805	.	.	1	1	PROT_RANGE=368-468
MAP4K3	ENST00000263881	.	.	0.492303900224715	1	PROT_RANGE=16-273
CHRDL1	ENST00000372042	.	.	1	1	PROT_RANGE=300-330
IPO5	ENST00000261574	.	.	1	1	PROT_RANGE=381-484
CLUL1	ENST00000400606	.	.	0.924892703862661	1	PROT_RANGE=33-464
SH3TC2	ENST00000515425	.	.	0.109843576631462	1	PROT_RANGE=274-323
OR5T3	ENST00000303059	.	.	0.805882352941176	1	PROT_RANGE=61-335
POU6F2	ENST00000403058	.	.	1	1	PROT_RANGE=559-586
UPF1	ENST00000262803	.	.	0.0874453166752538	1	PROT_RANGE=996-1046
CIT	ENST00000392521	.	.	0.122281295311745	1	PROT_RANGE=1643-1896
OR10J3	ENST00000332217	.	.	0.674772036474164	1	PROT_RANGE=32-254
PFKL	ENST00000349048	.	.	0.391025641025641	1	PROT_RANGE=18-323
EFR3A	ENST00000254624	.	.	1	1	PROT_RANGE=498-535
PVR	ENST00000425690	.	.	0.199040767386091	1	PROT_RANGE=148-231
RMDN2	ENST00000234195	.	.	1	1	PROT_RANGE=59-120
TNS1	ENST00000171887	.	.	0.138901577124634	1	PROT_RANGE=180-305
FLT3	ENST00000241453	.	.	0.212869380457849	1	PROT_RANGE=610-943
CHKB	ENST00000406938	.	.	0.534177215189873	1	PROT_RANGE=97-308
CRNN	ENST00000271835	.	.	0.292375899733333	1	PROT_RANGE=4-45
SMEK1	ENST00000554684	.	.	1	1	PROT_RANGE=772-820
DENND1C	ENST00000381480	.	.	0.137258202527739	1	PROT_RANGE=29-86
KCND1	ENST00000218176	.	.	0.293049122211897	1	PROT_RANGE=447-550
TCHP	ENST00000312777	.	.	0.678714859437751	1	PROT_RANGE=144-482
ZBTB24	ENST00000230122	.	.	0.114777618364419	1	PROT_RANGE=617-697
ZNF347	ENST00000452676	.	.	0.0516950113378685	1	PROT_RANGE=290-312
UHRF1BP1	ENST00000192788	.	.	1	1	PROT_RANGE=3-95
MCM5	ENST00000216122	.	.	0.183923705722071	1	PROT_RANGE=137-272
NRG1	ENST00000523534	.	.	1	1	PROT_RANGE=456-510
CADPS	ENST00000383710	.	.	1	1	PROT_RANGE=1321-1353
GPR128	ENST00000273352	.	.	1	1	PROT_RANGE=382-421
MAGI2	ENST00000354212	.	.	0.0912865932145345	1	PROT_RANGE=710-778
OOEP	ENST00000370359	.	.	0.570469798657718	1	PROT_RANGE=36-121
TAB3	ENST00000378933	.	.	1	1	PROT_RANGE=222-421
ITGA3	ENST00000007722	.	.	0.425891181988743	1	PROT_RANGE=462-916
ANKHD1	ENST00000297183	.	.	1	1	PROT_RANGE=38-88
RCBTB2	ENST00000344532	.	.	1	1	PROT_RANGE=117-167
MLN	ENST00000430124	.	.	1	1	PROT_RANGE=40-115
LINGO2	ENST00000379992	.	.	0.0973597359735974	1	PROT_RANGE=82-141
TRMT1	ENST00000592062	.	.	0.379754122330933	1	PROT_RANGE=519-659
RRAGA	ENST00000380527	.	.	0.521348589860058	1	PROT_RANGE=9-235
CACNA2D4	ENST00000382722	.	.	1	1	PROT_RANGE=290-453
CHRNA10	ENST00000250699	.	.	0.241165432098765	1	PROT_RANGE=386-444
HTR3D	ENST00000382489	.	.	1	1	PROT_RANGE=160-210
ATP10B	ENST00000327245	.	.	0.197051193880679	1	PROT_RANGE=720-798
LONRF3	ENST00000371628	.	.	0.437993962654557	1	PROT_RANGE=556-746
PUS7	ENST00000356362	.	.	0.590015128593041	1	PROT_RANGE=252-642
SLC2A1	ENST00000426263	.	.	0.128237335070158	1	PROT_RANGE=227-249
GTPBP3	ENST00000358792	.	.	0.698473282442748	1	PROT_RANGE=155-521
GLTP	ENST00000318348	.	.	0.708133971291866	1	PROT_RANGE=18-166
CLDN25	ENST00000453129	.	.	0.764192139737991	1	PROT_RANGE=8-183
NOB1	ENST00000268802	.	.	0.174757281553398	1	PROT_RANGE=260-332
ACTRT1	ENST00000371124	.	.	0.957899502037121	1	PROT_RANGE=8-376
VILL	ENST00000283713	.	.	1	1	PROT_RANGE=147-218
NAALAD2	ENST00000534061	.	.	0.617855425641127	1	PROT_RANGE=347-550
DNAH7	ENST00000312428	.	.	0.326591686626389	1	PROT_RANGE=2961-3182
PLCB2	ENST00000260402	.	.	0.367867953650725	1	PROT_RANGE=955-1123
COX8C	ENST00000342144	.	.	1	1	PROT_RANGE=30-71
KALRN	ENST00000240874	.	.	1	1	PROT_RANGE=563-613
CCT5	ENST00000280326	.	.	0.903881700554529	1	PROT_RANGE=44-533
PDE10A	ENST00000539869	.	.	1	1	PROT_RANGE=277-422
SORCS3	ENST00000369701	.	.	0.234732977785874	1	PROT_RANGE=663-816
CYP3A4	ENST00000336411	.	.	0.811073914366683	1	PROT_RANGE=39-492
GH1	ENST00000323322	.	.	0.949308755760369	1	PROT_RANGE=9-215
AFAP1L1	ENST00000296721	.	.	0.11328125	1	PROT_RANGE=228-315
KLRC1	ENST00000544822	.	.	0.399141630901288	1	PROT_RANGE=137-230
PAPD5	ENST00000436909	.	.	0.13323782234957	1	PROT_RANGE=605-698
KRT35	ENST00000393989	.	.	1	1	PROT_RANGE=96-406
CSNK1D	ENST00000314028	.	.	0.518072289156627	1	PROT_RANGE=9-224
GRAMD3	ENST00000513040	.	.	1	1	PROT_RANGE=127-228
CANX	ENST00000247461	.	.	0.0996621621621622	1	PROT_RANGE=1-60
DMD	ENST00000357033	.	.	0.177200400323562	1	PROT_RANGE=1680-1759
CLASRP	ENST00000221455	.	.	0.192878338278932	1	PROT_RANGE=40-170
DLGAP2	ENST00000421627	.	.	0.306034557054952	1	PROT_RANGE=377-469
IRS4	ENST00000372129	.	.	1	1	PROT_RANGE=389-448
MYCBPAP	ENST00000323776	.	.	0.423780487804878	1	PROT_RANGE=237-654
PRKCA	ENST00000413366	.	.	1	1	PROT_RANGE=37-87
GAPVD1	ENST00000394105	.	.	1	1	PROT_RANGE=449-492
GCSAML	ENST00000366488	.	.	0.992592592592593	1	PROT_RANGE=1-135
EPAS1	ENST00000263734	.	.	1	1	PROT_RANGE=484-547
GBA2	ENST00000378103	.	.	1	1	PROT_RANGE=521-886
VCAN	ENST00000265077	.	.	0.0545930846377849	1	PROT_RANGE=252-346
POU2F1	ENST00000367866	.	.	0.0913838120104439	1	PROT_RANGE=307-377
CELSR1	ENST00000262738	.	.	0.0155465287996516	1	PROT_RANGE=1470-1629
PRPS2	ENST00000398491	.	.	0.604002290350443	1	PROT_RANGE=4-123
LRRC37A3	ENST00000584306	.	.	0.116353977368915	1	PROT_RANGE=1369-1467
BSPRY	ENST00000374183	.	.	1	1	PROT_RANGE=234-281
