Hugo_Symbol,class,pvalue
ABL1,1,0.03680439151737715
AKT1,1,0.69792250182231
ALK,1,0.04703285309240903
ARAF,1,0.15988694924194805
ATM,1,0.0856925984688521
BRAF,1,0.9420705948405111
BRCA1,1,0.05499604124816119
BRCA2,1,0.05264059124980875
CDK4,1,0.17637327208498352
CDKN2A,1,0.32358048187090643
EGFR,1,0.37333124685031654
ERBB2,1,0.4068350197648985
ERCC2,1,0.31064664140839776
ESR1,1,0.07607927716228127
EWSR1,1,0.04747640909068622
FGFR1,1,0.031600715989227986
FGFR2,1,0.2820422259651608
FGFR3,1,0.35804969323641556
FLT3,1,0.10443094746118399
HRAS,1,0.8514611921163404
IDH1,1,1.0
IDH2,1,0.5786345837326613
JAK2,1,0.05053165463067993
KDM6A,1,0.09427593422456812
KIT,1,0.2263806413545125
KRAS,1,0.9891484126375956
MAP2K1,1,0.36312974504330264
MDM2,1,0.20091183318851483
MET,1,0.11025230780980799
MTOR,1,0.12229486541050721
NF1,1,0.12629046680120234
NRAS,1,0.9891927665147724
NTRK1,1,0.036941041353439556
NTRK2,1,0.02077567014310953
NTRK3,1,0.08112785518220016
PDGFRA,1,0.08109754081881607
PDGFRB,1,0.04626635117408724
PIK3CA,1,0.5856778014362904
PTCH1,1,0.04743737400589552
PTEN,1,0.299880077325534
RET,1,0.04281508962817333
ROS1,1,0.0661140961499652
SMARCB1,1,0.10276931176053809
TSC1,1,0.06014490061679083
TSC2,1,0.017863191278778643
RP13-395E19.3,0,0.20091183318851483
ADARB1,0,0.20091183318851483
APOC3,0,0.20091183318851483
OR8B12,0,0.20091183318851483
RP11-427H3.3,0,0.20091183318851483
PAM,0,0.012067721454962488
C1orf21,0,0.20091183318851483
PAPL,0,0.20091183318851483
PTMS,0,0.20091183318851483
MATN4,0,0.20091183318851483
DMRT1,0,0.02732166719067983
GPR149,0,0.20091183318851483
PSMB10,0,0.20091183318851483
MYBL2,0,0.034224071885944105
RBM28,0,0.038455914054030836
ZNF833P,0,0.20091183318851483
ETV2,0,0.20091183318851483
TSSC1,0,0.06171321925534337
ABRA,0,0.20091183318851483
C7orf69,0,0.20091183318851483
LILRA4,0,0.0809005483934856
ZNF709,0,0.06883146843346674
ZNF595,0,0.20091183318851483
RHCG,0,0.025605485983937703
RPS26,0,0.1361612072114216
ZEB2,0,0.05954318745051905
BAIAP2L1,0,0.021644642139355106
TRAP1,0,0.02096904901626809
NXPH2,0,0.20091183318851483
FOXF2,0,0.05461989330917908
OR8S1,0,0.20091183318851483
ARPC4-TTLL3,0,0.20091183318851483
KRT78,0,0.08562194693999886
CCL26,0,0.20091183318851483
CCL4L2,0,0.20091183318851483
MIR369,0,0.20091183318851483
INTS4L2,0,0.20091183318851483
COX7B,0,0.25730047372227477
CEACAM1,0,0.034506464873846614
ZNF627,0,0.04072494242971738
RNU6-714P,0,0.20091183318851483
CACNA1E,0,0.17979606155377992
COL11A1,0,0.15285821719745957
DST,0,0.026988698173511877
TTN,0,0.08141895306887566
