gene	transcript	protein_change	score	pvalue	qvalue	info
FEZF1	ENST00000442488	.	.	0.0463157894736842	1	PROT_RANGE=316-338
KAL1	ENST00000262648	.	.	0.231799307958477	1	PROT_RANGE=188-272
ATP13A2	ENST00000326735	.	.	0.216949152542373	1	PROT_RANGE=509-765
PPFIA2	ENST00000549396	.	.	0.0214271835873444	1	PROT_RANGE=212-396
HUWE1	ENST00000342160	.	.	0.198199005108457	1	PROT_RANGE=2259-2494
ATP1A2	ENST00000361216	.	.	1	1	PROT_RANGE=1-67
SEH1L	ENST00000399892	.	.	1	1	PROT_RANGE=11-40
OR2G3	ENST00000320002	.	.	0.886731391585761	1	PROT_RANGE=33-307
PPP1R18	ENST00000274853	.	.	0.197389885807504	1	PROT_RANGE=439-560
AP4M1	ENST00000359593	.	.	1	1	PROT_RANGE=176-453
CST9	ENST00000376971	.	.	0.707448281317986	1	PROT_RANGE=49-122
SPANXN3	ENST00000370503	.	.	0.659574468085106	1	PROT_RANGE=1-94
SYCP3	ENST00000392927	.	.	1	1	PROT_RANGE=88-209
RRP12	ENST00000370992	.	.	0.366889607652795	1	PROT_RANGE=1032-1297
FREM2	ENST00000280481	.	.	0.033449037551278	1	PROT_RANGE=1408-1514
C12orf50	ENST00000298699	.	.	0.43719806763285	1	PROT_RANGE=233-414
CDC73	ENST00000367435	.	.	0.310738009866613	1	PROT_RANGE=1-297
TRIM51	ENST00000449290	.	.	0.243362831858407	1	PROT_RANGE=340-450
NR4A1	ENST00000360284	.	.	0.0900163666121113	1	PROT_RANGE=300-355
OMG	ENST00000247271	.	.	1	1	PROT_RANGE=25-53
GABARAPL1	ENST00000266458	.	.	0.401709401709402	1	PROT_RANGE=1-48
SPATA9	ENST00000274432	.	.	0.208320416640833	1	PROT_RANGE=185-213
HAPLN1	ENST00000274341	.	.	0.231638418079096	1	PROT_RANGE=268-350
SULF2	ENST00000359930	.	.	0.234877790989562	1	PROT_RANGE=621-730
KATNB1	ENST00000379661	.	.	0.0549618320610687	1	PROT_RANGE=13-49
SRP72	ENST00000342756	.	.	1	1	PROT_RANGE=447-466
MDGA1	ENST00000434837	.	.	0.0795811518324607	1	PROT_RANGE=342-418
TNR	ENST00000367674	.	.	0.103227261783659	1	PROT_RANGE=328-400
TBL1X	ENST00000217964	.	.	0.0641247833622184	1	PROT_RANGE=403-440
TMPRSS11B	ENST00000332644	.	.	0.540865384615385	1	PROT_RANGE=185-410
ATP2C2	ENST00000262429	.	.	0.549426985325997	1	PROT_RANGE=375-686
LY75-CD302	ENST00000504764	.	.	0.0384410037373198	1	PROT_RANGE=1269-1341
ANKUB1	ENST00000446160	.	.	1	1	PROT_RANGE=398-452
NECAP1	ENST00000339754	.	.	0.567272727272727	1	PROT_RANGE=7-163
SNW1	ENST00000261531	.	.	0.147388059701493	1	PROT_RANGE=185-264
ADAMTS19	ENST00000274487	.	.	0.25538778607956	1	PROT_RANGE=160-273
ERCC6	ENST00000355832	.	.	0.307972144174489	1	PROT_RANGE=252-503
OSR2	ENST00000297565	.	.	0.548076923076923	1	PROT_RANGE=141-312
MME	ENST00000460393	.	.	0.274666666666667	1	PROT_RANGE=543-749
SPIN2B	ENST00000333933	.	.	0.174418604651163	1	PROT_RANGE=210-255
PDILT	ENST00000302451	.	.	0.311643835616438	1	PROT_RANGE=180-362
ZDHHC17	ENST00000426126	.	.	0.14873417721519	1	PROT_RANGE=161-255
WDR81	ENST00000409644	.	.	1	1	PROT_RANGE=1027-1209
H2AFY2	ENST00000373255	.	.	1	1	PROT_RANGE=89-123
SPATA31A6	ENST00000332857	.	.	0.0694791503224851	1	PROT_RANGE=396-750
FAM101A	ENST00000324038	.	.	0.888888888888889	1	PROT_RANGE=1-121
CCDC88C	ENST00000389857	.	.	1	1	PROT_RANGE=982-1068
IFT43	ENST00000238628	.	.	0.375586854460094	1	PROT_RANGE=1-81
CDK13	ENST00000181839	.	.	0.192460317460317	1	PROT_RANGE=707-998
NID2	ENST00000216286	.	.	0.250988429752066	1	PROT_RANGE=527-712
CYP26C1	ENST00000285949	.	.	1	1	PROT_RANGE=50-484
GGA2	ENST00000309859	.	.	1	1	PROT_RANGE=22-159
C9	ENST00000263408	.	.	0.409660107334526	1	PROT_RANGE=272-501
DZIP3	ENST00000361582	.	.	0.0562913907284768	1	PROT_RANGE=1096-1164
CDCA2	ENST00000330560	.	.	0.110459433040078	1	PROT_RANGE=614-727
MCEE	ENST00000244217	.	.	1	1	PROT_RANGE=49-160
ADCY5	ENST00000462833	.	.	0.153053132434576	1	PROT_RANGE=1063-1256
BZW2	ENST00000433922	.	.	1	1	PROT_RANGE=340-415
SIM2	ENST00000290399	.	.	1	1	PROT_RANGE=243-329
DIDO1	ENST00000266070	.	.	0.104606634735018	1	PROT_RANGE=508-589
KRT33B	ENST00000251646	.	.	0.76980198019802	1	PROT_RANGE=55-366
HTR3A	ENST00000355556	.	.	1	1	PROT_RANGE=42-248
PDE3A	ENST00000359062	.	.	1	1	PROT_RANGE=818-1017
IGSF21	ENST00000251296	.	.	1	1	PROT_RANGE=36-124
VWF	ENST00000261405	.	.	0.0997612906103891	1	PROT_RANGE=35-179
TEF	ENST00000266304	.	.	0.32013201320132	1	PROT_RANGE=206-303
DCAF8L2	ENST00000451261	.	.	0.293185419968304	1	PROT_RANGE=1-186
AMPH	ENST00000356264	.	.	0.100914031364836	1	PROT_RANGE=268-304
COL4A5	ENST00000328300	.	.	1	1	PROT_RANGE=1190-1245
NR2F1	ENST00000327111	.	.	0.68342750476446	1	PROT_RANGE=208-393
IZUMO2	ENST00000293405	.	.	0.881738703138756	1	PROT_RANGE=20-165
HSPG2	ENST00000374695	.	.	0.0631258873785094	1	PROT_RANGE=2050-2121
DAB2	ENST00000320816	.	.	1	1	PROT_RANGE=704-724
GLE1	ENST00000309971	.	.	1	1	PROT_RANGE=410-648
VWA5B2	ENST00000426955	.	.	1	1	PROT_RANGE=2-78
ALOX12	ENST00000251535	.	.	0.659125188536953	1	PROT_RANGE=207-644
MYH15	ENST00000273353	.	.	0.345323741007194	1	PROT_RANGE=106-778
RBMS3	ENST00000383767	.	.	1	1	PROT_RANGE=63-122
HTRA3	ENST00000307358	.	.	0.317880794701987	1	PROT_RANGE=175-319
SLC35A3	ENST00000370155	.	.	1	1	PROT_RANGE=2-47
KANK1	ENST00000382303	.	.	1	1	PROT_RANGE=1-91
CSK	ENST00000220003	.	.	0.164444444444444	1	PROT_RANGE=82-156
KIF1A	ENST00000498729	.	.	0.191513121161362	1	PROT_RANGE=11-354
TWSG1	ENST00000262120	.	.	0.600896860986547	1	PROT_RANGE=88-222
TDP1	ENST00000335725	.	.	0.682565789473684	1	PROT_RANGE=166-581
RND2	ENST00000587250	.	.	0.740088105726872	1	PROT_RANGE=9-177
IGHV4-61	ENST00000390630	.	.	0.771186440677966	1	PROT_RANGE=26-117
ADSS	ENST00000366535	.	.	0.925438596491228	1	PROT_RANGE=31-453
PKHD1L1	ENST00000378402	.	.	1	1	PROT_RANGE=1659-1743
GPR98	ENST00000405460	.	.	0.0472840012979356	1	PROT_RANGE=4021-4122
SLC5A9	ENST00000236495	.	.	0.541076487252125	1	PROT_RANGE=139-521
STAMBPL1	ENST00000371926	.	.	1	1	PROT_RANGE=101-198
STX1B	ENST00000215095	.	.	0.177083333333333	1	PROT_RANGE=227-278
SPINK5	ENST00000359874	.	.	0.0356489945155393	1	PROT_RANGE=381-420
DUS1L	ENST00000354321	.	.	0.566596194503171	1	PROT_RANGE=21-289
ATP8A1	ENST00000381668	.	.	0.215635738831615	1	PROT_RANGE=827-1078
PCDHGA2	ENST00000394576	.	.	0.0944206008583691	1	PROT_RANGE=354-442
SNUPN	ENST00000564644	.	.	0.152777777777778	1	PROT_RANGE=305-360
MAP1B	ENST00000296755	.	.	0.00607779578606159	1	PROT_RANGE=1998-2013
TBX21	ENST00000177694	.	.	0.349532710280374	1	PROT_RANGE=139-326
MINK1	ENST00000355280	.	.	1	1	PROT_RANGE=635-932
RYR3	ENST00000389232	.	.	0.0597662993456358	1	PROT_RANGE=1873-1972
HEXIM2	ENST00000307275	.	.	0.769230769230769	1	PROT_RANGE=66-286
CHD5	ENST00000262450	.	.	0.0324851314103605	1	PROT_RANGE=594-626
GADL1	ENST00000282538	.	.	0.704414587332054	1	PROT_RANGE=77-444
TP53	ENST00000269305	.	.	0.176565938766949	1	PROT_RANGE=95-288
KCNB1	ENST00000371741	.	.	0.171328671328671	1	PROT_RANGE=467-614
ABCB1	ENST00000265724	.	.	0.11640625	1	PROT_RANGE=410-559
SLC12A8	ENST00000393469	.	.	0.509803921568627	1	PROT_RANGE=45-409
CRTC3	ENST00000268184	.	.	0.172859450726979	1	PROT_RANGE=61-168
NFYA	ENST00000341376	.	.	1	1	PROT_RANGE=267-347
HNRNPA1	ENST00000340913	.	.	0.189031969013759	1	PROT_RANGE=307-344
PIAS2	ENST00000585916	.	.	0.244766505636071	1	PROT_RANGE=145-297
FSTL4	ENST00000265342	.	.	1	1	PROT_RANGE=340-417
TTC16	ENST00000373289	.	.	0.445631907459236	1	PROT_RANGE=650-873
NTF3	ENST00000423158	.	.	0.285185185185185	1	PROT_RANGE=193-270
CLPTM1L	ENST00000320895	.	.	0.763940520446097	1	PROT_RANGE=10-421
PCYT2	ENST00000538721	.	.	1	1	PROT_RANGE=27-150
TAF1L	ENST00000242310	.	.	0.0345016429353779	1	PROT_RANGE=821-884
SPG7	ENST00000268704	.	.	0.166037735849057	1	PROT_RANGE=346-478
PHAX	ENST00000297540	.	.	0.058137287742534	1	PROT_RANGE=139-234
ZNF652	ENST00000362063	.	.	1	1	PROT_RANGE=43-293
BRSK2	ENST00000382179	.	.	0.126631853785901	1	PROT_RANGE=457-554
CSF1R	ENST00000286301	.	.	0.337448559670782	1	PROT_RANGE=582-910
INVS	ENST00000262457	.	.	0.063849765258216	1	PROT_RANGE=319-387
DNMT3L	ENST00000270172	.	.	0.115330942985531	1	PROT_RANGE=159-182
LTBP3	ENST00000301873	.	.	0.0260936300844206	1	PROT_RANGE=660-694
GAS6	ENST00000327773	.	.	1	1	PROT_RANGE=325-452
OR56A3	ENST00000329564	.	.	0.879365079365079	1	PROT_RANGE=35-312
MBD6	ENST00000355673	.	.	0.167497507477567	1	PROT_RANGE=835-1003
LMNB2	ENST00000325327	.	.	0.329698231009365	1	PROT_RANGE=45-401
HLA-G	ENST00000428701	.	.	1	1	PROT_RANGE=220-290
SLIT1	ENST00000266058	.	.	0.0176010430247718	1	PROT_RANGE=733-760
