gene	transcript	protein_change	score	pvalue	qvalue	info
FADS1	ENST00000350997	.	.	0.271397325110258	1	PROT_RANGE=213-474
NEDD4L	ENST00000400345	.	.	0.411190391624632	1	PROT_RANGE=21-119
ZFHX4	ENST00000521891	.	.	0.383038844781295	1	PROT_RANGE=94-145
ADAMTS5	ENST00000284987	.	.	0.0862133161657501	1	PROT_RANGE=538-634
HNRNPF	ENST00000443950	.	.	1	1	PROT_RANGE=180-232
CASQ1	ENST00000368078	.	.	0.96969696969697	1	PROT_RANGE=12-396
SART1	ENST00000312397	.	.	0.0165765625	1	PROT_RANGE=667-770
CDA	ENST00000375071	.	.	0.684931506849315	1	PROT_RANGE=16-116
ANGPT2	ENST00000325203	.	.	1	1	PROT_RANGE=281-493
GPR143	ENST00000467482	.	.	0.996444087434374	1	PROT_RANGE=1-395
ENPEP	ENST00000265162	.	.	0.164326510269136	1	PROT_RANGE=58-100
TAOK1	ENST00000261716	.	.	0.0231622919906133	1	PROT_RANGE=305-370
ZNF10	ENST00000248211	.	.	0.0383944153577661	1	PROT_RANGE=377-399
NDUFC2	ENST00000281031	.	.	0.932773109243697	1	PROT_RANGE=8-119
SCNN1D	ENST00000379116	.	.	0.605985037406484	1	PROT_RANGE=227-713
TMEM8B	ENST00000377988	.	.	1	1	PROT_RANGE=232-415
SLC9A3	ENST00000264938	.	.	0.113670021834955	1	PROT_RANGE=58-462
CACNG3	ENST00000005284	.	.	0.397838134430727	1	PROT_RANGE=209-258
NUP43	ENST00000340413	.	.	1	1	PROT_RANGE=211-246
TUFT1	ENST00000368849	.	.	0.338461538461538	1	PROT_RANGE=179-311
PARP4	ENST00000381989	.	.	0.291385853725787	1	PROT_RANGE=378-565
UBE2G2	ENST00000345496	.	.	0.909090909090909	1	PROT_RANGE=8-158
PGAM4	ENST00000458128	.	.	0.480314960629921	1	PROT_RANGE=6-128
SEC23IP	ENST00000369075	.	.	1	1	PROT_RANGE=701-733
ARSE	ENST00000381134	.	.	0.427258655428757	1	PROT_RANGE=38-423
DIAPH3	ENST00000400324	.	.	0.0461206530575647	1	PROT_RANGE=1060-1074
EPM2AIP1	ENST00000322716	.	.	1	1	PROT_RANGE=66-81
PCNXL3	ENST00000355703	.	.	1	1	PROT_RANGE=546-613
HS6ST2	ENST00000521489	.	.	0.171349600396509	1	PROT_RANGE=520-645
ZNF219	ENST00000360947	.	.	0.354670390804245	1	PROT_RANGE=488-630
GNAI2	ENST00000313601	.	.	0.803261145927339	1	PROT_RANGE=14-344
METTL21C	ENST00000267273	.	.	1	1	PROT_RANGE=80-239
GSDMB	ENST00000418519	.	.	0.0468806673517865	1	PROT_RANGE=145-295
SLC25A22	ENST00000320230	.	.	1	1	PROT_RANGE=5-97
TMF1	ENST00000398559	.	.	1	1	PROT_RANGE=825-925
SERPINA5	ENST00000329597	.	.	0.965868448795262	1	PROT_RANGE=45-406
GNPDA2	ENST00000295448	.	.	0.800724637681159	1	PROT_RANGE=14-235
CCDC97	ENST00000269967	.	.	0.646269836547697	1	PROT_RANGE=204-343
SLC2A11	ENST00000398356	.	.	0.79681355208708	1	PROT_RANGE=27-476
UPP1	ENST00000331803	.	.	0.8	1	PROT_RANGE=55-303
IFFO2	ENST00000455833	.	.	1	1	PROT_RANGE=403-480
ANO7	ENST00000274979	.	.	0.561172562015773	1	PROT_RANGE=108-332
CRK	ENST00000300574	.	.	0.121710526315789	1	PROT_RANGE=137-174
C4orf29	ENST00000398965	.	.	0.924198931130248	1	PROT_RANGE=16-414
PAGE5	ENST00000289619	.	.	0.807692307692308	1	PROT_RANGE=21-126
LRRC6	ENST00000250173	.	.	0.58427312175514	1	PROT_RANGE=159-305
MURC	ENST00000307584	.	.	0.339210240309141	1	PROT_RANGE=68-280
OTOP3	ENST00000328801	.	.	0.292795876878694	1	PROT_RANGE=517-582
SNX13	ENST00000428135	.	.	0.10075112446468	1	PROT_RANGE=374-511
PDCD11	ENST00000369797	.	.	0.17358226883084	1	PROT_RANGE=451-521
ENO1	ENST00000234590	.	.	0.661290322580645	1	PROT_RANGE=143-430
ARHGAP32	ENST00000310343	.	.	0.129292440894758	1	PROT_RANGE=714-785
ATN1	ENST00000356654	.	.	0.200579072081841	1	PROT_RANGE=1-202
SIRT1	ENST00000212015	.	.	0.0876885846846542	1	PROT_RANGE=648-747
CCDC11	ENST00000398545	.	.	0.417205408106103	1	PROT_RANGE=157-489
TCTE1	ENST00000371505	.	.	1	1	PROT_RANGE=360-383
