gene	transcript	protein_change	score	pvalue	qvalue	info
ANK1	ENST00000265709	.	.	0.0337374802319452	1	PROT_RANGE=336-400
HNRNPUL1	ENST00000392006	.	.	0.168224299065421	1	PROT_RANGE=424-568
SPATA21	ENST00000335496	.	.	0.270788912579957	1	PROT_RANGE=1-128
MED6	ENST00000256379	.	.	0.516260162601626	1	PROT_RANGE=13-140
PHKA2	ENST00000379942	.	.	1	1	PROT_RANGE=8-919
PPARGC1B	ENST00000309241	.	.	1	1	PROT_RANGE=298-327
JAG1	ENST00000254958	.	.	0.0238095238095238	1	PROT_RANGE=786-815
AMZ1	ENST00000312371	.	.	1	1	PROT_RANGE=451-498
KIAA0895L	ENST00000290881	.	.	0.484076433121019	1	PROT_RANGE=228-456
ANGPTL2	ENST00000373425	.	.	1	1	PROT_RANGE=276-487
ISLR	ENST00000249842	.	.	1	1	PROT_RANGE=123-181
C5orf42	ENST00000425232	.	.	0.0337816703159212	1	PROT_RANGE=2440-2548
KRTAP10-8	ENST00000334662	.	.	1	1	PROT_RANGE=9-90
CSDE1	ENST00000438362	.	.	1	1	PROT_RANGE=232-292
CYTH2	ENST00000452733	.	.	0.453634085213033	1	PROT_RANGE=62-243
TCP11L1	ENST00000334274	.	.	0.833005893909627	1	PROT_RANGE=78-502
PKN1	ENST00000342216	.	.	1	1	PROT_RANGE=622-880
ANKRD30B	ENST00000358984	.	.	0.103448275862069	1	PROT_RANGE=609-753
NCDN	ENST00000373243	.	.	0.831275720164609	1	PROT_RANGE=31-637
OR6N2	ENST00000339258	.	.	0.867507886435331	1	PROT_RANGE=33-308
DLG5	ENST00000372391	.	.	1	1	PROT_RANGE=1427-1486
GJC3	ENST00000312891	.	.	0.182795698924731	1	PROT_RANGE=228-279
AMOTL2	ENST00000249883	.	.	1	1	PROT_RANGE=482-683
PIGU	ENST00000217446	.	.	0.880459770114942	1	PROT_RANGE=11-394
MAP3K4	ENST00000392142	.	.	1	1	PROT_RANGE=1-169
RYR1	ENST00000359596	.	.	1	1	PROT_RANGE=443-635
ADAMTSL1	ENST00000380548	.	.	1	1	PROT_RANGE=736-788
KCNJ8	ENST00000240662	.	.	0.780660377358491	1	PROT_RANGE=37-368
MYH6	ENST00000405093	.	.	1	1	PROT_RANGE=35-73
ADSSL1	ENST00000332972	.	.	0.778	1	PROT_RANGE=108-497
KIF1B	ENST00000263934	.	.	0.00151967825337547	1	PROT_RANGE=512-581
PTPRE	ENST00000254667	.	.	0.0885714285714286	1	PROT_RANGE=124-186
MTMR4	ENST00000323456	.	.	0.326359832635983	1	PROT_RANGE=128-518
ERI3	ENST00000372257	.	.	1	1	PROT_RANGE=147-319
HSF2BP	ENST00000291560	.	.	0.122754491017964	1	PROT_RANGE=63-104
RFPL1	ENST00000354373	.	.	1	1	PROT_RANGE=40-81
PRRC2B	ENST00000357304	.	.	0.168236877523553	1	PROT_RANGE=297-672
HEY1	ENST00000337919	.	.	1	1	PROT_RANGE=1-78
MYH10	ENST00000360416	.	.	0.380245870891839	1	PROT_RANGE=1421-1848
FUT6	ENST00000318336	.	.	1	1	PROT_RANGE=188-358
TMPRSS4	ENST00000437212	.	.	0.262744215029664	1	PROT_RANGE=205-429
PEAR1	ENST00000338302	.	.	0.0414657666345227	1	PROT_RANGE=622-665
PHKG1	ENST00000452681	.	.	1	1	PROT_RANGE=139-320
IRF2	ENST00000393593	.	.	0.223495702005731	1	PROT_RANGE=200-278
CYC1	ENST00000318911	.	.	0.664615384615385	1	PROT_RANGE=96-312
ZPBP	ENST00000046087	.	.	0.754985754985755	1	PROT_RANGE=86-351
IGKV1-27	ENST00000498435	.	.	1	1	PROT_RANGE=28-112
CSRP2BP	ENST00000435364	.	.	0.0882352941176471	1	PROT_RANGE=219-288
LRP5L	ENST00000402859	.	.	1	1	PROT_RANGE=48-86
ZNF502	ENST00000296091	.	.	0.755514705882353	1	PROT_RANGE=133-544
ZC3H15	ENST00000337859	.	.	1	1	PROT_RANGE=235-426
OGDHL	ENST00000374103	.	.	0.320792079207921	1	PROT_RANGE=244-568
B4GALT2	ENST00000309519	.	.	0.216957605985037	1	PROT_RANGE=314-401
SLC44A5	ENST00000370855	.	.	0.496522948539638	1	PROT_RANGE=330-687
