gene	transcript	protein_change	score	pvalue	qvalue	info
TSHZ2	ENST00000371497	.	.	0.459332788882	0.4779350513600001	PROT_RANGE=946-946;CLUSTER_MUT_COUNT=2
COL15A1	ENST00000375001	.	.	0.145468010944	0.259819869815	PROT_RANGE=1089-1089;CLUSTER_MUT_COUNT=2
SPOCK1	ENST00000394945	.	.	0.045319084753400005	0.155768561069	PROT_RANGE=276-276;CLUSTER_MUT_COUNT=2
DLGAP4	ENST00000373913	.	.	0.0767822748712	0.18318057005	PROT_RANGE=177-177;CLUSTER_MUT_COUNT=2
TUSC3	ENST00000503731	.	.	0.005542598852060001	0.0462807004147	PROT_RANGE=66-66,326-326;CLUSTER_MUT_COUNT=4,2
CNTNAP2	ENST00000361727	.	.	0.402588193656	0.436572911303	PROT_RANGE=491-491;CLUSTER_MUT_COUNT=2
ARID1A	ENST00000324856	.	.	0.459332788882	0.4779350513600001	PROT_RANGE=2158-2158;CLUSTER_MUT_COUNT=2
PTPRM	ENST00000580170	.	.	0.263663983286	0.345348119285	PROT_RANGE=640-640;CLUSTER_MUT_COUNT=2
EPHA3	ENST00000336596	.	.	0.28725331873300003	0.363418971427	PROT_RANGE=207-207;CLUSTER_MUT_COUNT=2
RHOA	ENST00000418115	.	.	1.75372090753e-05	0.000732178478893	PROT_RANGE=5-5,34-42,57-62;CLUSTER_MUT_COUNT=2,9,8
TTBK2	ENST00000267890	.	.	0.045319084753400005	0.155768561069	PROT_RANGE=726-726;CLUSTER_MUT_COUNT=2
CHL1	ENST00000256509	.	.	0.0767822748712	0.18318057005	PROT_RANGE=234-234;CLUSTER_MUT_COUNT=3
TLR4	ENST00000355622	.	.	0.0633462314668	0.18318057005	PROT_RANGE=436-440,498-498;CLUSTER_MUT_COUNT=4,3
ZEB2	ENST00000558170	.	.	0.28725331873300003	0.363418971427	PROT_RANGE=868-868;CLUSTER_MUT_COUNT=2
ZFHX3	ENST00000268489	.	.	0.045319084753400005	0.155768561069	PROT_RANGE=3271-3271;CLUSTER_MUT_COUNT=2
SMAD4	ENST00000342988	.	.	0.0422110222982	0.155768561069	PROT_RANGE=351-368;CLUSTER_MUT_COUNT=12
USP24	ENST00000294383	.	.	6.89394827662e-05	0.00153505248293	PROT_RANGE=1028-1028,1821-1821;CLUSTER_MUT_COUNT=2,2
RASGRF2	ENST00000265080	.	.	0.0767822748712	0.18318057005	PROT_RANGE=481-481;CLUSTER_MUT_COUNT=2
STAG1	ENST00000383202	.	.	0.178481454859	0.281147794219	PROT_RANGE=667-667;CLUSTER_MUT_COUNT=2
SFMBT2	ENST00000361972	.	.	0.23772959911	0.335028211404	PROT_RANGE=107-107;CLUSTER_MUT_COUNT=2
ADAMTS12	ENST00000504830	.	.	0.128361181711	0.242218275093	PROT_RANGE=575-575,733-733;CLUSTER_MUT_COUNT=2,2
NBEA	ENST00000400445	.	.	0.473377197877	0.486486104895	PROT_RANGE=2845-2845;CLUSTER_MUT_COUNT=2
COL12A1	ENST00000322507	.	.	0.459332788882	0.4779350513600001	PROT_RANGE=933-933;CLUSTER_MUT_COUNT=2
PKD1	ENST00000262304	.	.	0.111052154188	0.216908885958	PROT_RANGE=1303-1303;CLUSTER_MUT_COUNT=2
KRAS	ENST00000256078	.	.	2.5996870503e-09	8.68295474801e-07	PROT_RANGE=12-13,61-61;CLUSTER_MUT_COUNT=20,2
EPHA4	ENST00000281821	.	.	0.0767822748712	0.18318057005	PROT_RANGE=249-249;CLUSTER_MUT_COUNT=2
IGSF9B	ENST00000533871	.	.	0.0767822748712	0.18318057005	PROT_RANGE=703-703;CLUSTER_MUT_COUNT=2
MAP2	ENST00000360351	.	.	0.308679678228	0.366900400457	PROT_RANGE=1457-1457;CLUSTER_MUT_COUNT=3
BRAF	ENST00000288602	.	.	0.045319084753400005	0.155768561069	PROT_RANGE=601-601;CLUSTER_MUT_COUNT=2
ARID1B	ENST00000346085	.	.	0.0767822748712	0.18318057005	PROT_RANGE=677-677;CLUSTER_MUT_COUNT=2
PCLO	ENST00000333891	.	.	0.534832151342	0.538054031771	PROT_RANGE=4202-4203;CLUSTER_MUT_COUNT=3
DOCK10	ENST00000258390	.	.	0.34585130948700005	0.391574024979	PROT_RANGE=935-935;CLUSTER_MUT_COUNT=2
RNF213	ENST00000582970	.	.	0.209329877906	0.30936362487	PROT_RANGE=4317-4317;CLUSTER_MUT_COUNT=2
ERBB2	ENST00000269571	.	.	0.000180312780791	0.00316970888337	PROT_RANGE=310-310,678-678;CLUSTER_MUT_COUNT=4,3
ZNF43	ENST00000354959	.	.	0.209329877906	0.30936362487	PROT_RANGE=86-86;CLUSTER_MUT_COUNT=2
ITGAV	ENST00000261023	.	.	0.0767822748712	0.18318057005	PROT_RANGE=539-539;CLUSTER_MUT_COUNT=2
DMD	ENST00000357033	.	.	0.383627081087	0.4256858640640001	PROT_RANGE=1363-1364;CLUSTER_MUT_COUNT=4
DSEL	ENST00000310045	.	.	0.402588193656	0.436572911303	PROT_RANGE=472-472;CLUSTER_MUT_COUNT=2
BICC1	ENST00000373886	.	.	0.106389503381	0.216908885958	PROT_RANGE=444-445;CLUSTER_MUT_COUNT=3
SPEF2	ENST00000356031	.	.	0.34585130948700005	0.391574024979	PROT_RANGE=60-60;CLUSTER_MUT_COUNT=2
ZNF521	ENST00000361524	.	.	0.308679678228	0.366900400457	PROT_RANGE=481-481;CLUSTER_MUT_COUNT=2
SYNE1	ENST00000367255	.	.	0.339790627431	0.391574024979	PROT_RANGE=444-446,2463-2463,3949-3949,5499-5499;CLUSTER_MUT_COUNT=3,2,2,2
DPYD	ENST00000370192	.	.	0.111052154188	0.216908885958	PROT_RANGE=586-586;CLUSTER_MUT_COUNT=2
MAGI2	ENST00000354212	.	.	0.0552799303177	0.17921421009100005	PROT_RANGE=603-603;CLUSTER_MUT_COUNT=3
ITPR1	ENST00000302640	.	.	0.178481454859	0.281147794219	PROT_RANGE=330-330;CLUSTER_MUT_COUNT=2
