Hugo_Symbol,3'Flank,3'UTR,5'Flank,5'UTR,Frame_Shift_Del,Frame_Shift_Ins,In_Frame_Del,In_Frame_Ins,Intron,Missense_Mutation,Nonsense_Mutation,Nonstop_Mutation,RNA,Silent,Splice_Site,Translation_Start_Site,DEL,INS,ONP,SNP,TNP,pnum,exp_mean,exp_var,exp_ccle,rep_time,all_mean,all_var,up_mean,up_var,down_mean,down_var,dnam_mean,dnam_var,chr,start,end,expression_CCLE,replication_time,noncoding_mutation_rate,local_GC_content,HiC_compartment,local_gene_density,wgs_mean_depth,wgs_percent_20x,capture_on_target_rate,capture_mean_depth,capture_pct200,capture_mean_percentGC,gene_betweeness,gene_degree,nonsilent_to_silent,label,class
ZNF440,0,101,0,4,7,3,1,0,0,126,18,1,0,36,1,0,10,3,0,285,0,228,6.681498285,2.688949838,19.49650507,9.30833903,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,19,11925107,11946016,739660.2,633,2.74E-06,0.41941,-0.00158973,32,58.10811,97.21622,0.8856968,138.8459,20.72787,41.0253,9.55E-06,11,4,0,0
APBA1,0,25,0,2,5,1,0,0,0,182,13,0,0,104,4,0,6,1,0,329,0,264,6.968459519,2.529667035,17.67656593,9.396604781,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.256816082,0.015708099,9,72042449,72287275,209495.4,673,2.59E-06,0.4194567,-0.00544125,7,44.18919,80.67568,0.8551074,134.2689,21.80656,52.77536,4.79E-05,13,1.904761905,0,0
NOSIP,0,3,0,0,1,0,2,0,0,48,4,0,0,26,1,0,3,0,0,82,0,73,6.681498285,2.688949838,20.98825128,7.721099189,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.324290175,0.034866065,19,50058970,50083803,2080142,210,2.69E-06,0.54079,0.04060547,57,41.83784,78.54054,0.8437128,97.84918,10.9082,59.29013,9.06E-05,17,1.962962963,0,0
IREB2,0,17,0,2,15,0,2,0,15,151,17,1,0,41,3,0,18,2,0,244,0,208,6.681498285,2.688949838,18.94939301,8.768184325,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.088368196,0.001085378,15,78730518,78793798,506214.8,435,2.67E-06,0.45207,0.0326856,11,48.75676,96.75676,0.908827,124.6328,14.32459,35.99966,4.00E-05,19,4.071428571,0,0
NOVA1,0,93,0,10,18,6,0,0,37,168,14,0,0,59,1,0,21,6,0,379,0,309,6.681498285,2.688949838,13.95265026,9.787902559,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.168476806,0.047693152,14,26915090,27066960,15854,883,6.33E-06,0.342475,-0.04085233,1,41.75676,84.97297,0.9081218,104.1541,10.51475,42.95117,8.32E-06,5,3.15,0,0
MIR1972-2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,24,0,22,6.681498285,2.688949838,18.70293689,8.594903589,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,10.31835141,73868703.71,73933525.05,651465.5733,443.4357224,3.07E-06,0.447931196,0.020079966,15.39417944,47.73935778,89.37432302,0.877165431,118.014852,14.70247779,49.34638959,0.000152065,24.91374182,0,0,0
TM2D1,0,8,0,1,0,0,0,0,0,44,3,0,0,14,1,0,2,1,0,68,0,60,6.681498285,2.688949838,17.41611467,8.214319121,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,1,62146719,62191095,174892.2,296,2.07E-06,0.41386,-0.009263263,2,42.75676,91.37838,0.8149754,52.80656,0.6393443,47.09762,3.05E-06,2,3.2,0,0
ATP6V1B2,0,20,0,2,0,2,1,1,1,76,10,1,0,28,5,0,2,3,0,142,0,120,11.20151107,0.716155872,17.27859919,9,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.059107703,0.000944106,8,20054704,20079205,158991.5,511,3.08E-06,0.43441,-0.004368412,6,44.13514,92.02703,0.8770599,111.0656,11.31803,41.0289,0.000193778,84,3.24137931,0,0
OR5B12,0,0,0,0,3,1,1,0,0,123,3,0,0,60,0,2,4,1,0,188,0,166,6.681498285,2.688949838,17.53920426,9.667111542,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.443918654,0.028839998,11,58206594,58207646,190469,812,4.32E-06,0.36794,-0.01009762,25,53.45946,98.32432,0.988106,92.33115,4.560656,43.26697,0.000152065,24.91374182,2.081967213,0,0
MRPL21,0,6,0,1,1,0,0,0,9,25,4,0,0,13,1,0,1,0,0,59,0,52,6.681498285,2.688949838,19.18107022,8.247927513,0.001450086,0.029971159,0.057367087,0.01865264,-0.096697304,0.030944089,0.076139135,0.001380395,11,68658747,68671303,594397.2,303,2.43E-06,0.5005,0.04498505,14,51.48649,92.83784,0.8629275,189.4787,37.74098,49.83882,3.82E-06,21,2.142857143,0,0
