gene	transcript	protein_change	score	pvalue	qvalue	info
SLA	ENST00000427060	.	.	0.240506329113924	1	PROT_RANGE=124-200
CNGB3	ENST00000320005	.	.	1	1	PROT_RANGE=545-629
TMEFF2	ENST00000272771	.	.	1	1	PROT_RANGE=205-286
NYAP2	ENST00000272907	.	.	0.57427258805513	1	PROT_RANGE=56-431
NAV3	ENST00000536525	.	.	0.148890292560455	1	PROT_RANGE=181-364
CASR	ENST00000498619	.	.	0.0261433323992747	1	PROT_RANGE=892-997
EHMT1	ENST00000460843	.	.	0.0816640986132511	1	PROT_RANGE=1137-1243
CSPP1	ENST00000262210	.	.	0.0990990990990991	1	PROT_RANGE=581-702
ZNRF4	ENST00000222033	.	.	1	1	PROT_RANGE=308-352
PTPN2	ENST00000309660	.	.	0.171084337349398	1	PROT_RANGE=1-72
HOXA9	ENST00000343483	.	.	0.705882352941177	1	PROT_RANGE=1-193
DPH6	ENST00000256538	.	.	0.872659176029963	1	PROT_RANGE=1-234
ZNF836	ENST00000322146	.	.	0.0235042735042735	1	PROT_RANGE=526-548
NAA11	ENST00000286794	.	.	0.445414847161572	1	PROT_RANGE=127-229
TMEM8A	ENST00000431232	.	.	1	1	PROT_RANGE=546-727
CRLF3	ENST00000324238	.	.	1	1	PROT_RANGE=1-57
ACOX1	ENST00000293217	.	.	0.260606060606061	1	PROT_RANGE=480-652
OR10C1	ENST00000444197	.	.	0.878205128205128	1	PROT_RANGE=30-304
RAPGEF3	ENST00000449771	.	.	1	1	PROT_RANGE=268-347
ARID5B	ENST00000279873	.	.	1	1	PROT_RANGE=370-544
ZSWIM6	ENST00000252744	.	.	1	1	PROT_RANGE=335-372
P2RY8	ENST00000381297	.	.	0.264774025672553	1	PROT_RANGE=40-293
SEL1L2	ENST00000378072	.	.	1	1	PROT_RANGE=217-245
MARCH7	ENST00000259050	.	.	0.0994318181818182	1	PROT_RANGE=43-113
MAF1	ENST00000322428	.	.	0.69140625	1	PROT_RANGE=25-202
CTAGE5	ENST00000396158	.	.	1	1	PROT_RANGE=104-190
ANKRD30A	ENST00000361713	.	.	0.217002237136465	1	PROT_RANGE=1048-1339
ABHD17B	ENST00000377041	.	.	1	1	PROT_RANGE=89-196
TCEA3	ENST00000450454	.	.	0.316091954022989	1	PROT_RANGE=185-295
PARD6G	ENST00000353265	.	.	0.207446808510638	1	PROT_RANGE=19-97
STAT3	ENST00000264657	.	.	0.000118141981631173	1	PROT_RANGE=584-674
NPAS1	ENST00000602212	.	.	0.0779661016949153	1	PROT_RANGE=50-96
NRAP	ENST00000359988	.	.	0.0913294797687861	1	PROT_RANGE=64-222
PIK3CG	ENST00000359195	.	.	0.195099818511797	1	PROT_RANGE=828-1043
STIM2	ENST00000465503	.	.	0.148541114058355	1	PROT_RANGE=516-628
ASCC3	ENST00000369162	.	.	1	1	PROT_RANGE=1607-1692
OR9A4	ENST00000548136	.	.	0.859872611464968	1	PROT_RANGE=30-300
ZBED2	ENST00000317012	.	.	0.224770642201835	1	PROT_RANGE=1-50
TECPR2	ENST00000359520	.	.	1	1	PROT_RANGE=1181-1205
C1orf27	ENST00000287859	.	.	0.79295154185022	1	PROT_RANGE=28-388
EPC2	ENST00000258484	.	.	1	1	PROT_RANGE=578-807
SIN3A	ENST00000394947	.	.	0.0679333723740828	1	PROT_RANGE=142-186
