gene	transcript	protein_change	score	pvalue	qvalue	info
RRAS	ENST00000246792	.	.	0.73394495412844	1	PROT_RANGE=31-191
CERKL	ENST00000339098	.	.	1	1	PROT_RANGE=475-558
AASS	ENST00000393376	.	.	0.259210753420504	1	PROT_RANGE=28-157
TJP1	ENST00000346128	.	.	0.135011441647597	1	PROT_RANGE=964-1200
ANKRD12	ENST00000262126	.	.	1	1	PROT_RANGE=179-247
CHRM2	ENST00000445907	.	.	0.34549356223176	1	PROT_RANGE=220-381
SLC13A3	ENST00000279027	.	.	0.813615985771794	1	PROT_RANGE=10-572
GNE	ENST00000396594	.	.	0.447543160690571	1	PROT_RANGE=69-406
AGBL5	ENST00000360131	.	.	1	1	PROT_RANGE=240-327
HMBS	ENST00000278715	.	.	0.581717451523546	1	PROT_RANGE=21-231
OR2A7	ENST00000493325	.	.	1	1	PROT_RANGE=30-304
NDFIP2	ENST00000218652	.	.	0.229166666666667	1	PROT_RANGE=63-140
PCDH19	ENST00000373034	.	.	0.0735099066396338	1	PROT_RANGE=1105-1148
TKTL2	ENST00000280605	.	.	0.402555910543131	1	PROT_RANGE=18-270
NPAP1	ENST00000329468	.	.	0.0392423761688677	1	PROT_RANGE=154-383
BTBD1	ENST00000261721	.	.	0.20746887966805	1	PROT_RANGE=184-284
NEU1	ENST00000375631	.	.	0.696385542168675	1	PROT_RANGE=88-377
ABCA13	ENST00000435803	.	.	0.135351294463178	1	PROT_RANGE=3859-4004
ZFP82	ENST00000392161	.	.	1	1	PROT_RANGE=5-46
CAMSAP2	ENST00000358823	.	.	0.047361299052774	1	PROT_RANGE=592-662
KEL	ENST00000355265	.	.	0.520491803278688	1	PROT_RANGE=99-480
CHL1	ENST00000256509	.	.	0.0702614379084967	1	PROT_RANGE=934-1020
ABCA6	ENST00000284425	.	.	0.459709582335092	1	PROT_RANGE=867-1167
OR4D9	ENST00000329328	.	.	0.85031847133758	1	PROT_RANGE=33-300
APOB	ENST00000233242	.	.	0.0422672381939452	1	PROT_RANGE=3934-3983
RHEBL1	ENST00000301068	.	.	0.87431693989071	1	PROT_RANGE=8-168
NAAA	ENST00000286733	.	.	1	1	PROT_RANGE=32-91
