gene	transcript	protein_change	score	pvalue	qvalue	info
MSR1	ENST00000262101	.	.	5.05737551189e-05	0.00117951048229	PROT_RANGE=36-36,279-279;CLUSTER_MUT_COUNT=2,2
ZHX2	ENST00000314393	.	.	0.0273088456012	0.0950511859637	PROT_RANGE=325-330;CLUSTER_MUT_COUNT=3
HEATR5B	ENST00000233099	.	.	0.07440543501369999	0.145786258848	PROT_RANGE=1170-1170;CLUSTER_MUT_COUNT=2
ANK3	ENST00000280772	.	.	0.24316929841	0.299508352216	PROT_RANGE=2834-2834;CLUSTER_MUT_COUNT=2
THOC2	ENST00000245838	.	.	0.124718119156	0.203714930242	PROT_RANGE=6-10;CLUSTER_MUT_COUNT=3
MYLK	ENST00000360304	.	.	0.00202754996415	0.0193411662867	PROT_RANGE=350-351,1251-1251;CLUSTER_MUT_COUNT=3,2
COL4A4	ENST00000396625	.	.	0.256873852041	0.310049741278	PROT_RANGE=1051-1051;CLUSTER_MUT_COUNT=2
ATP6V0A2	ENST00000330342	.	.	0.00103806425337	0.011371522048200002	PROT_RANGE=269-269,847-847;CLUSTER_MUT_COUNT=2,2
CNTNAP2	ENST00000361727	.	.	0.0505207706508	0.12762537397600002	PROT_RANGE=156-156,296-296,313-317,573-573;CLUSTER_MUT_COUNT=2,2,3,2
ZNF33A	ENST00000374618	.	.	0.178111520154	0.247564360387	PROT_RANGE=603-605;CLUSTER_MUT_COUNT=3
ARID1A	ENST00000324856	.	.	0.12876586877	0.203714930242	PROT_RANGE=1291-1291;CLUSTER_MUT_COUNT=2
FRY	ENST00000380250	.	.	0.344835064048	0.375475529076	PROT_RANGE=1432-1432;CLUSTER_MUT_COUNT=2
EIF2AK3	ENST00000303236	.	.	0.00310018881818	0.0254708694948	PROT_RANGE=820-821;CLUSTER_MUT_COUNT=3
ELTD1	ENST00000370742	.	.	0.108467637118	0.186666007644	PROT_RANGE=113-117;CLUSTER_MUT_COUNT=3
TLN2	ENST00000561311	.	.	0.353553636871	0.383237300537	PROT_RANGE=1449-1449;CLUSTER_MUT_COUNT=2
SYNE2	ENST00000358025	.	.	0.441610734258	0.452244420493	PROT_RANGE=2155-2155;CLUSTER_MUT_COUNT=2
NOTCH1	ENST00000277541	.	.	0.326053256755	0.366619758373	PROT_RANGE=977-977;CLUSTER_MUT_COUNT=2
RASAL1	ENST00000546530	.	.	0.07440543501369999	0.145786258848	PROT_RANGE=551-551;CLUSTER_MUT_COUNT=2
KALRN	ENST00000240874	.	.	0.377327599578	0.403561914933	PROT_RANGE=240-240;CLUSTER_MUT_COUNT=2
CHL1	ENST00000256509	.	.	0.164409803064	0.232164624248	PROT_RANGE=603-603;CLUSTER_MUT_COUNT=2
IRS1	ENST00000305123	.	.	0.041700645276	0.111253013043	PROT_RANGE=164-164;CLUSTER_MUT_COUNT=2
IGF2R	ENST00000356956	.	.	0.150356380562	0.223678319231	PROT_RANGE=1470-1472;CLUSTER_MUT_COUNT=3
TLR4	ENST00000355622	.	.	0.335677380382	0.372274537401	PROT_RANGE=111-111;CLUSTER_MUT_COUNT=2
LAMA4	ENST00000230538	.	.	0.163496822392	0.232164624248	PROT_RANGE=1293-1294;CLUSTER_MUT_COUNT=3
ZFHX3	ENST00000268489	.	.	0.0832628347878	0.160530745471	PROT_RANGE=177-177,2410-2410;CLUSTER_MUT_COUNT=2,2
ABCA1	ENST00000374736	.	.	0.000709440463835	0.00932591737006	PROT_RANGE=381-381,622-622,1312-1313;CLUSTER_MUT_COUNT=2,2,3
SHPRH	ENST00000367505	.	.	0.00115384356762	0.012451177602899998	PROT_RANGE=135-136,557-557;CLUSTER_MUT_COUNT=3,2
SETD2	ENST00000409792	.	.	0.01732093776	0.0897566349189	PROT_RANGE=1756-1759;CLUSTER_MUT_COUNT=3
CACNA1B	ENST00000371372	.	.	0.104404998249	0.186666007644	PROT_RANGE=146-146;CLUSTER_MUT_COUNT=3
LILRB4	ENST00000391736	.	.	0.110502145604	0.186666007644	PROT_RANGE=25-25;CLUSTER_MUT_COUNT=2
USP34	ENST00000398571	.	.	0.335677380382	0.372274537401	PROT_RANGE=2768-2768;CLUSTER_MUT_COUNT=2
ZNF527	ENST00000436120	.	.	0.041700645276	0.111253013043	PROT_RANGE=454-454;CLUSTER_MUT_COUNT=2
EP300	ENST00000263253	.	.	0.00691479163933	0.0468291624857	PROT_RANGE=1398-1399;CLUSTER_MUT_COUNT=4
ADAMTS12	ENST00000504830	.	.	0.0752409201676	0.147024825084	PROT_RANGE=416-416,638-640,712-712,1148-1148,1391-1391;CLUSTER_MUT_COUNT=2,3,2,2,2
RALGAPA2	ENST00000202677	.	.	0.164409803064	0.232164624248	PROT_RANGE=1266-1266;CLUSTER_MUT_COUNT=2
SIPA1L3	ENST00000222345	.	.	0.213697516626	0.274916911958	PROT_RANGE=975-975;CLUSTER_MUT_COUNT=2
BDP1	ENST00000358731	.	.	0.110502145604	0.186666007644	PROT_RANGE=832-832;CLUSTER_MUT_COUNT=2
CILP	ENST00000261883	.	.	0.041700645276	0.111253013043	PROT_RANGE=937-937;CLUSTER_MUT_COUNT=2
ZNF616	ENST00000600228	.	.	0.0573696356048	0.12762537397600002	PROT_RANGE=121-121;CLUSTER_MUT_COUNT=2
CAMTA1	ENST00000303635	.	.	0.0123922583118	0.0694542849571	PROT_RANGE=738-738,1439-1439;CLUSTER_MUT_COUNT=2,2
NCKAP5	ENST00000409261	.	.	0.043219453063900015	0.114881119725	PROT_RANGE=672-681,762-762;CLUSTER_MUT_COUNT=4,2
