gene	transcript	protein_change	score	pvalue	qvalue	info
IFRD1	ENST00000403825	.	.	0.117516629711752	1	PROT_RANGE=392-445
ARSJ	ENST00000315366	.	.	1	1	PROT_RANGE=204-237
ACSM2B	ENST00000329697	.	.	0.459200009611659	1	PROT_RANGE=77-468
KRT20	ENST00000167588	.	.	0.731132075471698	1	PROT_RANGE=69-379
EPHA6	ENST00000389672	.	.	0.100020361813768	1	PROT_RANGE=1059-1117
SUV420H2	ENST00000255613	.	.	1	1	PROT_RANGE=210-290
TRIM11	ENST00000284551	.	.	1	1	PROT_RANGE=16-56
TPM3	ENST00000368530	.	.	0.824561403508772	1	PROT_RANGE=49-284
CNGB1	ENST00000251102	.	.	1	1	PROT_RANGE=514-547
TLN2	ENST00000561311	.	.	1	1	PROT_RANGE=494-655
KIF21B	ENST00000422435	.	.	1	1	PROT_RANGE=14-370
SLC5A5	ENST00000222248	.	.	1	1	PROT_RANGE=47-452
CLCN5	ENST00000376088	.	.	1	1	PROT_RANGE=671-712
PEX7	ENST00000318471	.	.	0.0835913312693498	1	PROT_RANGE=69-96
CDC7	ENST00000428239	.	.	0.174216027874564	1	PROT_RANGE=365-465
TAF1	ENST00000276072	.	.	0.0295826730058109	1	PROT_RANGE=384-440
ATP1B4	ENST00000218008	.	.	0.252100840336134	1	PROT_RANGE=1-91
VANGL1	ENST00000355485	.	.	0.952290076335878	1	PROT_RANGE=25-524
TRIM36	ENST00000282369	.	.	1	1	PROT_RANGE=76-106
MAGEF1	ENST00000317897	.	.	0.547231270358306	1	PROT_RANGE=83-251
FBXO10	ENST00000432825	.	.	1	1	PROT_RANGE=6-50
ZNF585B	ENST00000532828	.	.	0.187256176853056	1	PROT_RANGE=625-769
CPSF6	ENST00000435070	.	.	0.14519056261343	1	PROT_RANGE=152-232
ATR	ENST00000350721	.	.	1	1	PROT_RANGE=2324-2566
EPS8L1	ENST00000201647	.	.	0.16597510373444	1	PROT_RANGE=385-505
TNIK	ENST00000436636	.	.	0.0573529411764706	1	PROT_RANGE=957-1035
RSF1	ENST00000308488	.	.	0.0541290770298404	1	PROT_RANGE=423-501
COL22A1	ENST00000303045	.	.	0.034440344403444	1	PROT_RANGE=1118-1174
ESCO2	ENST00000305188	.	.	0.239600665557404	1	PROT_RANGE=80-224
ISM1	ENST00000262487	.	.	0.338362068965517	1	PROT_RANGE=294-451
NUDT8	ENST00000376693	.	.	1	1	PROT_RANGE=33-149
OGDHL	ENST00000374103	.	.	0.102907558082541	1	PROT_RANGE=244-568
CHD6	ENST00000373233	.	.	1	1	PROT_RANGE=1992-2076
KSR2	ENST00000339824	.	.	0.0760598337950139	1	PROT_RANGE=666-928
CD209	ENST00000315599	.	.	1	1	PROT_RANGE=274-379
CNOT1	ENST00000317147	.	.	0.279359071920099	1	PROT_RANGE=1998-2357
