gene	transcript	protein_change	score	pvalue	qvalue	info
CDK12	ENST00000447079	.	.	0.0543754651392428	1	PROT_RANGE=729-1020
PIP5K1C	ENST00000335312	.	.	0.206620441751227	1	PROT_RANGE=516-589
ARHGEF9	ENST00000253401	.	.	0.184108527131783	1	PROT_RANGE=372-467
LMOD2	ENST00000458573	.	.	0.387772426631552	1	PROT_RANGE=6-125
IPO8	ENST00000256079	.	.	0.0535630095344017	1	PROT_RANGE=201-441
IFIT1	ENST00000371804	.	.	0.0753138075313807	1	PROT_RANGE=1-37
PCDHGB1	ENST00000523390	.	.	0.087378640776699	1	PROT_RANGE=683-764
EYS	ENST00000503581	.	.	1	1	PROT_RANGE=2460-2582
LZTS2	ENST00000370220	.	.	1	1	PROT_RANGE=567-633
VARS	ENST00000375663	.	.	0.220467473161352	1	PROT_RANGE=984-1132
ARHGDIB	ENST00000228945	.	.	0.930348258706468	1	PROT_RANGE=11-198
ARAF	ENST00000377045	.	.	0.419141914191419	1	PROT_RANGE=311-565
STK25	ENST00000316586	.	.	1	1	PROT_RANGE=20-270
SLC38A4	ENST00000447411	.	.	0.383912248628885	1	PROT_RANGE=324-534
LPPR1	ENST00000374874	.	.	1	1	PROT_RANGE=130-275
BARD1	ENST00000260947	.	.	0.132655622526078	1	PROT_RANGE=1-37
SSSCA1	ENST00000309328	.	.	1	1	PROT_RANGE=37-74
AGPAT2	ENST00000371696	.	.	1	1	PROT_RANGE=78-205
BANF2	ENST00000545418	.	.	0.786055903921777	1	PROT_RANGE=10-96
ENGASE	ENST00000579016	.	.	1	1	PROT_RANGE=135-410
ZNF507	ENST00000311921	.	.	0.18185792036855	1	PROT_RANGE=750-841
COMP	ENST00000222271	.	.	0.0462351387054161	1	PROT_RANGE=360-395
ITGA9	ENST00000264741	.	.	0.206006667104054	1	PROT_RANGE=77-135
VSIG4	ENST00000374737	.	.	0.180451127819549	1	PROT_RANGE=142-214
CDH2	ENST00000269141	.	.	0.206602780579799	1	PROT_RANGE=389-488
TRPC6	ENST00000344327	.	.	0.0592458590084233	1	PROT_RANGE=245-273
PAPSS2	ENST00000456849	.	.	0.358642972536349	1	PROT_RANGE=389-611
SETBP1	ENST00000282030	.	.	0.13426069873933	1	PROT_RANGE=309-420
TESPA1	ENST00000449076	.	.	0.165067178502879	1	PROT_RANGE=1-87
SLC26A8	ENST00000490799	.	.	0.254639175257732	1	PROT_RANGE=544-791
PCDH17	ENST00000377918	.	.	0.341783380633074	1	PROT_RANGE=248-341
HHIP	ENST00000296575	.	.	0.339724356847147	1	PROT_RANGE=1-70
BCAR3	ENST00000370244	.	.	0.0263857305840777	1	PROT_RANGE=154-234
HYAL3	ENST00000336307	.	.	0.62247180672728	1	PROT_RANGE=24-353
POLI	ENST00000579534	.	.	0.239189189189189	1	PROT_RANGE=58-235
PLS1	ENST00000337777	.	.	0.170111287758347	1	PROT_RANGE=396-503
XK	ENST00000378616	.	.	0.831081081081081	1	PROT_RANGE=7-376
SMCR8	ENST00000406438	.	.	1	1	PROT_RANGE=249-311
DPP7	ENST00000371579	.	.	0.865853658536585	1	PROT_RANGE=38-464
GRM3	ENST00000361669	.	.	0.710436023974912	1	PROT_RANGE=67-473
GPR139	ENST00000570682	.	.	0.68271954674221	1	PROT_RANGE=44-285
RSPO1	ENST00000356545	.	.	0.648166085963365	1	PROT_RANGE=42-149
SPTBN1	ENST00000356805	.	.	0.121611076011208	1	PROT_RANGE=1914-2014
SPAG9	ENST00000262013	.	.	0.121714618739617	1	PROT_RANGE=297-380
LHFP	ENST00000379589	.	.	0.92	1	PROT_RANGE=9-193
C1orf116	ENST00000359470	.	.	0.945091514143095	1	PROT_RANGE=33-601
PARP15	ENST00000464300	.	.	0.138643067846608	1	PROT_RANGE=322-416
UGT2B11	ENST00000446444	.	.	0.896941477481856	1	PROT_RANGE=24-525
NPY5R	ENST00000515560	.	.	0.680161595758112	1	PROT_RANGE=58-425
IGFBP3	ENST00000381083	.	.	0.521885521885522	1	PROT_RANGE=142-297
KCNS1	ENST00000306117	.	.	0.188212927756654	1	PROT_RANGE=52-151
AGMO	ENST00000342526	.	.	0.0840348440853428	1	PROT_RANGE=120-249
UBE4B	ENST00000343090	.	.	1	1	PROT_RANGE=95-158
ARNTL2	ENST00000266503	.	.	0.182624797278589	1	PROT_RANGE=183-244
