gene	transcript	protein_change	score	pvalue	qvalue	info
CDC42	ENST00000344548	.	.	1	1	PROT_RANGE=5-175
SLC38A9	ENST00000396865	.	.	0.213903743315508	1	PROT_RANGE=119-239
TMPRSS6	ENST00000346753	.	.	0.48500351972949	1	PROT_RANGE=577-806
KPNA5	ENST00000368564	.	.	0.0760667903525046	1	PROT_RANGE=201-242
WWP2	ENST00000359154	.	.	1	1	PROT_RANGE=407-435
ALOXE3	ENST00000318227	.	.	0.32358623745574	1	PROT_RANGE=136-239
CDS2	ENST00000460006	.	.	0.10561797752809	1	PROT_RANGE=1-48
MLYCD	ENST00000262430	.	.	1	1	PROT_RANGE=95-456
MOGAT2	ENST00000198801	.	.	0.874251497005988	1	PROT_RANGE=41-333
XPNPEP3	ENST00000357137	.	.	0.451676528599605	1	PROT_RANGE=253-482
VWA3B	ENST00000477737	.	.	0.094246214858725	1	PROT_RANGE=443-485
PTPRM	ENST00000580170	.	.	0.360655867479142	1	PROT_RANGE=27-182
LPCAT4	ENST00000314891	.	.	1	1	PROT_RANGE=108-231
SLC18A1	ENST00000440926	.	.	0.809737868480726	1	PROT_RANGE=135-431
IMPG2	ENST00000193391	.	.	1	1	PROT_RANGE=903-995
SAMD3	ENST00000368134	.	.	1	1	PROT_RANGE=226-327
PVRL4	ENST00000368012	.	.	0.156862745098039	1	PROT_RANGE=151-231
NALCN	ENST00000251127	.	.	0.206480866893263	1	PROT_RANGE=1209-1457
IFIT2	ENST00000371826	.	.	1	1	PROT_RANGE=236-254
KRTAP19-4	ENST00000334058	.	.	1	1	PROT_RANGE=1-57
RIOK2	ENST00000283109	.	.	0.36231884057971	1	PROT_RANGE=268-468
CBR4	ENST00000306193	.	.	0.936708860759494	1	PROT_RANGE=11-233
DTNBP1	ENST00000344537	.	.	0.301994301994302	1	PROT_RANGE=126-232
LARP4B	ENST00000316157	.	.	0.0731707317073171	1	PROT_RANGE=161-215
NDRG2	ENST00000556147	.	.	0.746630727762803	1	PROT_RANGE=41-318
NMT1	ENST00000592782	.	.	1	1	PROT_RANGE=301-340
MNDA	ENST00000368141	.	.	0.314399724719135	1	PROT_RANGE=9-79
ACTL9	ENST00000324436	.	.	0.161155926405325	1	PROT_RANGE=248-415
GPR4	ENST00000323040	.	.	0.696132596685083	1	PROT_RANGE=34-286
NBPF1	ENST00000430580	.	.	0.0544337137840211	1	PROT_RANGE=178-240
TIAM2	ENST00000461783	.	.	0.208831060748234	1	PROT_RANGE=1103-1291
NCAPH	ENST00000240423	.	.	0.177563965972234	1	PROT_RANGE=426-495
DAO	ENST00000228476	.	.	0.939481268011527	1	PROT_RANGE=2-328
INPPL1	ENST00000298229	.	.	0.0976510270674677	1	PROT_RANGE=627-690
DISP1	ENST00000284476	.	.	1	1	PROT_RANGE=240-298
BMP7	ENST00000395863	.	.	0.5707656612529	1	PROT_RANGE=34-280
SLC52A2	ENST00000532887	.	.	1	1	PROT_RANGE=275-371
RASGRF1	ENST00000419573	.	.	0.0809112333071485	1	PROT_RANGE=25-128
ZKSCAN4	ENST00000377294	.	.	0.0752293577981652	1	PROT_RANGE=34-75
GPC4	ENST00000370828	.	.	0.0593525179856115	1	PROT_RANGE=486-519
SNRNP48	ENST00000342415	.	.	0.0678466076696165	1	PROT_RANGE=56-79
CMYA5	ENST00000446378	.	.	1	1	PROT_RANGE=3356-3513
FAM53B	ENST00000337318	.	.	0.713270142180095	1	PROT_RANGE=1-302
GATA4	ENST00000335135	.	.	1	1	PROT_RANGE=271-304
HELZ2	ENST00000467148	.	.	1	1	PROT_RANGE=2406-2611
CHERP	ENST00000546361	.	.	0.146167054268682	1	PROT_RANGE=869-916
DUSP15	ENST00000278979	.	.	1	1	PROT_RANGE=9-135
AKAP13	ENST00000361243	.	.	0.110168218895639	1	PROT_RANGE=208-273
AMER3	ENST00000423981	.	.	0.249709639953542	1	PROT_RANGE=230-445
CTAGE8	ENST00000487179	.	.	0.0707850707850708	1	PROT_RANGE=258-313
DCAF17	ENST00000375255	.	.	0.827400147928994	1	PROT_RANGE=32-505
SHCBP1	ENST00000303383	.	.	1	1	PROT_RANGE=427-546
CLN8	ENST00000331222	.	.	0.261972177414253	1	PROT_RANGE=68-251
DEFB129	ENST00000246105	.	.	1	1	PROT_RANGE=26-54
SLC34A3	ENST00000538474	.	.	0.143572621035058	1	PROT_RANGE=376-462
MFSD8	ENST00000296468	.	.	1	1	PROT_RANGE=42-359
CCDC181	ENST00000545005	.	.	0.271590566803181	1	PROT_RANGE=1-175
ZNF107	ENST00000395391	.	.	0.735632183908046	1	PROT_RANGE=1-577
PCDHB1	ENST00000306549	.	.	0.183826913995014	1	PROT_RANGE=31-110
SLC23A1	ENST00000353963	.	.	0.978266064623241	1	PROT_RANGE=45-479
NUP188	ENST00000372577	.	.	1	1	PROT_RANGE=160-191
SLC35F5	ENST00000245680	.	.	1	1	PROT_RANGE=235-315
CEBPG	ENST00000284000	.	.	0.346666666666667	1	PROT_RANGE=62-114
KRTAP20-2	ENST00000330798	.	.	0.892307692307692	1	PROT_RANGE=1-59
CSRP3	ENST00000533783	.	.	1	1	PROT_RANGE=120-176
CREB3L2	ENST00000330387	.	.	1	1	PROT_RANGE=274-339
RASGRP2	ENST00000354024	.	.	0.475624256837099	1	PROT_RANGE=157-325
PRR16	ENST00000379551	.	.	0.889679715302491	1	PROT_RANGE=31-281
XPO1	ENST00000401558	.	.	0.131071033793215	1	PROT_RANGE=1022-1071
TXN	ENST00000374517	.	.	0.99265306122449	1	PROT_RANGE=7-103
RGS3	ENST00000374140	.	.	0.266486920463242	1	PROT_RANGE=300-372
