gene	transcript	protein_change	score	pvalue	qvalue	info
TPI1	ENST00000229270	.	.	0.828671328671329	1	PROT_RANGE=45-282
ZBTB37	ENST00000367701	.	.	0.200795228628231	1	PROT_RANGE=22-123
OLFML2B	ENST00000294794	.	.	0.145925008494617	1	PROT_RANGE=38-67
SLC6A17	ENST00000331565	.	.	0.992065843289645	1	PROT_RANGE=60-642
SENP5	ENST00000323460	.	.	0.16158940397351	1	PROT_RANGE=1-123
CHST7	ENST00000276055	.	.	0.728395061728395	1	PROT_RANGE=102-456
PRPH	ENST00000257860	.	.	1	1	PROT_RANGE=255-342
FAM46A	ENST00000320172	.	.	0.719457013574661	1	PROT_RANGE=66-384
INO80B	ENST00000233331	.	.	0.210674157303371	1	PROT_RANGE=100-175
PEAK1	ENST00000560626	.	.	0.157040311861449	1	PROT_RANGE=97-170
SLC9A1	ENST00000263980	.	.	0.237282547329595	1	PROT_RANGE=106-503
MARCH7	ENST00000259050	.	.	1	1	PROT_RANGE=311-432
GAA	ENST00000302262	.	.	1	1	PROT_RANGE=504-532
MAF1	ENST00000322428	.	.	0.69140625	1	PROT_RANGE=25-202
ENOX2	ENST00000338144	.	.	0.250900013657531	1	PROT_RANGE=130-186
RAB1A	ENST00000409784	.	.	0.780487804878049	1	PROT_RANGE=13-173
OR13A1	ENST00000553795	.	.	0.692751710291494	1	PROT_RANGE=50-323
DNM2	ENST00000389253	.	.	0.10731272294887	1	PROT_RANGE=216-501
TLDC1	ENST00000343629	.	.	0.315789473684211	1	PROT_RANGE=268-412
ANKRD30A	ENST00000361713	.	.	0.0040227898597472	1	PROT_RANGE=897-1035
NAIP	ENST00000517649	.	.	0.0285103349964362	1	PROT_RANGE=1-41
NRG3	ENST00000372141	.	.	1	1	PROT_RANGE=462-553
NAA11	ENST00000286794	.	.	0.358078602620087	1	PROT_RANGE=42-124
ABCB6	ENST00000265316	.	.	0.102826095542228	1	PROT_RANGE=274-544
IGLV3-27	ENST00000390304	.	.	0.743362831858407	1	PROT_RANGE=24-108
DPH6	ENST00000256538	.	.	0.872659176029963	1	PROT_RANGE=1-234
CCNL2	ENST00000400809	.	.	0.163461538461538	1	PROT_RANGE=203-288
RPS6KA6	ENST00000262752	.	.	0.342783693315516	1	PROT_RANGE=426-683
CCDC157	ENST00000405659	.	.	1	1	PROT_RANGE=128-170
SLC16A2	ENST00000587091	.	.	0.153988868274583	1	PROT_RANGE=1-84
NRG1	ENST00000356819	.	.	0.0879120879120879	1	PROT_RANGE=270-326
SLC17A8	ENST00000323346	.	.	0.871668189587831	1	PROT_RANGE=86-464
SUPV3L1	ENST00000359655	.	.	1	1	PROT_RANGE=358-474
LMO7	ENST00000465261	.	.	1	1	PROT_RANGE=368-585
ZBTB2	ENST00000325144	.	.	0.618043690944113	1	PROT_RANGE=14-104
MS4A2	ENST00000278888	.	.	0.201297616871016	1	PROT_RANGE=60-203
NYAP2	ENST00000272907	.	.	0.293970583393799	1	PROT_RANGE=56-431
TMEFF2	ENST00000272771	.	.	1	1	PROT_RANGE=205-286
KIAA1586	ENST00000370733	.	.	1	1	PROT_RANGE=560-583
SLA	ENST00000427060	.	.	1	1	PROT_RANGE=124-200
ABCB7	ENST00000253577	.	.	0.363877822045153	1	PROT_RANGE=150-424
CASR	ENST00000498619	.	.	0.228462337769997	1	PROT_RANGE=198-253
SNX7	ENST00000306121	.	.	1	1	PROT_RANGE=99-210
CORO1C	ENST00000261401	.	.	1	1	PROT_RANGE=122-159
ZNRF4	ENST00000222033	.	.	1	1	PROT_RANGE=308-352
B3GAT1	ENST00000524765	.	.	0.62874251497006	1	PROT_RANGE=105-315
ERCC2	ENST00000391945	.	.	0.641585737223168	1	PROT_RANGE=272-413
TRIML1	ENST00000332517	.	.	0.194608809993425	1	PROT_RANGE=288-336
CUX1	ENST00000360264	.	.	0.202288375306905	1	PROT_RANGE=952-1019
CRYBA1	ENST00000225387	.	.	0.409302325581395	1	PROT_RANGE=125-213
AP1G1	ENST00000393512	.	.	0.442118030786064	1	PROT_RANGE=708-820
MSLN	ENST00000382862	.	.	0.996825396825397	1	PROT_RANGE=1-629
CLC	ENST00000221804	.	.	0.873239436619718	1	PROT_RANGE=12-136
C14orf39	ENST00000321731	.	.	0.115425846153138	1	PROT_RANGE=34-159
