gene	transcript	protein_change	score	pvalue	qvalue	info
TSHZ2	ENST00000371497	.	.	0.00143162016715	0.00381765377906	PROT_RANGE=755-755;CLUSTER_MUT_COUNT=2
SMAD4	ENST00000342988	.	.	0.0503209375023	0.0670945833364	PROT_RANGE=351-355,361-361,509-513,520-520;CLUSTER_MUT_COUNT=5,4,3,2
KRAS	ENST00000256078	.	.	1.63125680984e-08	1.30500544787e-07	PROT_RANGE=12-13,61-61;CLUSTER_MUT_COUNT=108,8
EEF2	ENST00000309311	.	.	0.00143162016715	0.00381765377906	PROT_RANGE=457-457;CLUSTER_MUT_COUNT=2
CDKN2A	ENST00000498124	.	.	0.0925546569552	0.113913423945	PROT_RANGE=58-58,80-88;CLUSTER_MUT_COUNT=2,11
GNAS	ENST00000371100	.	.	0.00143162016715	0.00381765377906	PROT_RANGE=844-844;CLUSTER_MUT_COUNT=4
U2AF1	ENST00000291552	.	.	1.4601095077599999e-08	1.30500544787e-07	PROT_RANGE=34-34;CLUSTER_MUT_COUNT=3
HECW2	ENST00000260983	.	.	0.479404445841	0.479404445841	PROT_RANGE=271-271;CLUSTER_MUT_COUNT=2
CACNA1H	ENST00000348261	.	.	0.0445654627585	0.0648224912852	PROT_RANGE=903-903;CLUSTER_MUT_COUNT=2
TP53	ENST00000269305	.	.	0.00533413142352	0.0121923003966	PROT_RANGE=126-135,151-154,173-179,192-199,205-205,213-215,220-220,238-255,266-266,272-275,278-286;CLUSTER_MUT_COUNT=5,4,9,7,2,5,2,21,2,9,7
