gene	transcript	protein_change	score	pvalue	qvalue	info
IDH1	.	.	.	0	0	FILTER=PASS
TP53	.	.	.	0	0	FILTER=PASS
ATRX	.	.	.	0	0	FILTER=PASS
CIC	.	.	.	0	0	FILTER=PASS
FUBP1	.	.	.	0	0	FILTER=PASS
SMARCA4	.	.	.	0	0	FILTER=PASS
NF1	.	.	.	0	0	FILTER=PASS
EGFR	.	.	.	0	0	FILTER=PASS
NOTCH1	.	.	.	0	0	FILTER=PASS
PIK3CA	.	.	.	0	0	FILTER=PASS
PIK3R1	.	.	.	0	0	FILTER=PASS
PTEN	.	.	.	0	0	FILTER=PASS
IDH2	.	.	.	0	0	FILTER=PASS
TCF12	.	.	.	0	0	FILTER=PASS
ZBTB20	.	.	.	3.73846393283245e-20	5.94664996249215e-17	FILTER=PASS
MUC16	.	.	.	4.02600418534354e-18	6.00377874139355e-15	FILTER=LGF
ZNF292	.	.	.	6.26231497049575e-18	8.78934324682521e-15	FILTER=LGF
ARID1A	.	.	.	1.06974689426663e-17	1.41800893873343e-14	FILTER=LGF
TTN	.	.	.	3.84318550623441e-17	4.8262319041449e-14	FILTER=LGF
BCOR	.	.	.	1.1086540744662e-16	1.32262431083818e-13	FILTER=PASS
NIPBL	.	.	.	9.366483953066e-16	1.06421098628645e-12	FILTER=LGF
FLG	.	.	.	1.52442292652412e-13	1.65330595576661e-10	FILTER=LGF
KAT6B	.	.	.	4.64572894993197e-09	4.81943881501638e-06	FILTER=LGF
ITIH6	.	.	.	1.14492494795526e-08	1.13824621909219e-05	FILTER=FAIL
CYLC1	.	.	.	2.29210992760101e-08	2.1875897149024e-05	FILTER=FAIL
DCAF8L1	.	.	.	2.54855324556253e-08	2.338787709197e-05	FILTER=FAIL
RYR2	.	.	.	3.07054259667465e-08	2.71344986506138e-05	FILTER=FAIL
KIF2B	.	.	.	3.4988765690676e-08	2.98154267635546e-05	FILTER=FAIL
NPAP1	.	.	.	4.41269935496045e-08	3.63058643480539e-05	FILTER=FAIL
ANKRD30A	.	.	.	7.97785846811257e-08	6.34505676830553e-05	FILTER=FAIL
ACAN	.	.	.	2.17709453838802e-07	0.0001675660505998	FILTER=FAIL
PRX	.	.	.	2.52862274228152e-07	0.000188540433221366	FILTER=FAIL
RGAG4	.	.	.	3.11092275309065e-07	0.0002249291420871	FILTER=FAIL
ARID2	.	.	.	3.60288347777041e-07	0.000252837646410594	FILTER=FAIL
EPPK1	.	.	.	2.07041840500461e-06	0.00141143380409743	FILTER=FAIL
SPATA31D1	.	.	.	2.37838792270139e-06	0.00157634266210153	FILTER=FAIL
HRNR	.	.	.	3.40449468924781e-06	0.00219543900771494	FILTER=FAIL
ZCCHC12	.	.	.	3.67367879835956e-06	0.00228398693020004	FILTER=FAIL
MUC17	.	.	.	3.7332560887595e-06	0.00228398693020004	FILTER=FAIL
DNMT3A	.	.	.	4.18115803953499e-06	0.00249406077058262	FILTER=FAIL
RBM12B	.	.	.	4.36208432566376e-06	0.00253852029293506	FILTER=FAIL
KRT15	.	.	.	5.42067692092203e-06	0.00306351076990496	FILTER=FAIL
FSTL5	.	.	.	5.52099593905756e-06	0.00306351076990496	FILTER=FAIL
MYH8	.	.	.	6.51479605308977e-06	0.00353279622333459	FILTER=FAIL
PCLO	.	.	.	9.06463841386317e-06	0.00480627272343945	FILTER=FAIL
TPTE	.	.	.	9.4049154919292e-06	0.00487828877472675	FILTER=FAIL
LHFPL1	.	.	.	1.56957785373408e-05	0.00780210991460316	FILTER=FAIL
CUL4B	.	.	.	1.55620008594645e-05	0.00780210991460316	FILTER=FAIL
VSIG4	.	.	.	1.68617729871288e-05	0.00821065109128353	FILTER=FAIL
KEL	.	.	.	1.99348447023542e-05	0.00951290789196342	FILTER=FAIL
CD209	.	.	.	2.09616632042517e-05	0.00961817853948934	FILTER=FAIL
APOB	.	.	.	2.06064842575637e-05	0.00961817853948934	FILTER=FAIL
PDGFRA	.	.	.	2.68574165576099e-05	0.0120909048880108	FILTER=FAIL
FAM47B	.	.	.	3.7299432186023e-05	0.0164808231844168	FILTER=FAIL
PKHD1	.	.	.	3.9995220100577e-05	0.0173506536654503	FILTER=FAIL
OR2T2	.	.	.	4.29408109282881e-05	0.0182958526562313	FILTER=FAIL
MYH2	.	.	.	4.56186370672075e-05	0.0190958014109398	FILTER=FAIL
OR5H14	.	.	.	5.05584665154738e-05	0.0207987070872277	FILTER=FAIL
OR4A16	.	.	.	5.76101321909886e-05	0.0232979280352032	FILTER=FAIL
CPEB4	.	.	.	5.89373632997653e-05	0.02343742480554	FILTER=FAIL
DCAF12L2	.	.	.	6.79084584875249e-05	0.0265622265493827	FILTER=FAIL
UGT2B4	.	.	.	7.08013576923926e-05	0.0272471031377498	FILTER=FAIL
NRAS	.	.	.	7.34952068387329e-05	0.0278348513519392	FILTER=FAIL
RB1	.	.	.	8.55297018828312e-05	0.031886541983193	FILTER=FAIL
LRP2	.	.	.	8.99351155097795e-05	0.0330131054778975	FILTER=FAIL
FAM167B	.	.	.	0.000102004047301149	0.0368760086152336	FILTER=FAIL
SAGE1	.	.	.	0.00014468006185211	0.0507656805263433	FILTER=FAIL
MUM1L1	.	.	.	0.000146838961957922	0.0507764874248698	FILTER=FAIL
AKAP4	.	.	.	0.000167092953113368	0.0569548265897851	FILTER=FAIL
SOX4	.	.	.	0.000184628755312222	0.0620456634049242	FILTER=FAIL
OR4C16	.	.	.	0.000200354966607511	0.0663954097674335	FILTER=FAIL
IL1RAPL2	.	.	.	0.000206671216320203	0.0675503454986307	FILTER=FAIL
MUC7	.	.	.	0.000216212782523978	0.0697140133921908	FILTER=FAIL
HMCN1	.	.	.	0.000227169100153212	0.0722700630620752	FILTER=FAIL
KERA	.	.	.	0.000270491446831035	0.0849200779130065	FILTER=FAIL
SPATA31E1	.	.	.	0.00028682615536812	0.0888788580140694	FILTER=FAIL
MROH2B	.	.	.	0.000300190250245663	0.0918274278315579	FILTER=FAIL
LIPI	.	.	.	0.000318188826692957	0.096101081074607	FILTER=FAIL
MYH1	.	.	.	0.000382881975949418	0.111409316416501	FILTER=FAIL
SPANXD	.	.	.	0.000378875237644169	0.111409316416501	FILTER=FAIL
CLEC12A	.	.	.	0.000409779663177155	0.11665538204781	FILTER=FAIL
MXRA5	.	.	.	0.000410689526069406	0.11665538204781	FILTER=FAIL
TMPRSS15	.	.	.	0.000440276681569622	0.122151181654084	FILTER=FAIL
MUC5B	.	.	.	0.000440135812749739	0.122151181654084	FILTER=FAIL
PTCHD4	.	.	.	0.000465475841949119	0.124789366167483	FILTER=FAIL
ROS1	.	.	.	0.000457069535505119	0.124789366167483	FILTER=FAIL
DOCK5	.	.	.	0.000462435047287342	0.124789366167483	FILTER=FAIL
TRPA1	.	.	.	0.000480428994133389	0.127367064444696	FILTER=FAIL
HEPACAM2	.	.	.	0.000513328792494188	0.131699193429154	FILTER=FAIL
KRAS	.	.	.	0.000508504123318626	0.131699193429154	FILTER=FAIL
EXPH5	.	.	.	0.000505154410297704	0.131699193429154	FILTER=FAIL
MGAT4C	.	.	.	0.000531315490371408	0.134863697875125	FILTER=FAIL
RIPK4	.	.	.	0.000539203171361435	0.135425133354567	FILTER=FAIL
CXXC11	.	.	.	0.000579376731338626	0.142514729997316	FILTER=FAIL
MAGEE1	.	.	.	0.000592674506453365	0.144298099224258	FILTER=FAIL
OTOS	.	.	.	0.000643819845125919	0.155167085906105	FILTER=FAIL
FRG1B	.	.	.	0.000664307602574657	0.158503793974313	FILTER=FAIL
RFX7	.	.	.	0.000677897903928704	0.160144989977613	FILTER=FAIL
OTOP1	.	.	.	0.000714042565146869	0.163817842350041	FILTER=FAIL
MYH4	.	.	.	0.000706408362395155	0.163817842350041	FILTER=FAIL
FGD5	.	.	.	0.000708585369761125	0.163817842350041	FILTER=FAIL
OR4P4	.	.	.	0.000734842532972951	0.166984217492711	FILTER=FAIL
CCDC173	.	.	.	0.000770750435470285	0.173491560286047	FILTER=FAIL
EDAR	.	.	.	0.000789315151138129	0.176009901926689	FILTER=FAIL
SLC17A4	.	.	.	0.000810250271889739	0.178587806463764	FILTER=FAIL
KCNB2	.	.	.	0.000815845385773271	0.178587806463764	FILTER=FAIL
CSF2RA	.	.	.	0.000844271573260461	0.183130179436315	FILTER=FAIL
TNFSF14	.	.	.	0.000889138832553545	0.18360726748193	FILTER=FAIL
NLRP2	.	.	.	0.000893755194260139	0.18360726748193	FILTER=FAIL
AMMECR1	.	.	.	0.000885834976940195	0.18360726748193	FILTER=FAIL
ADAM7	.	.	.	0.00087565107245574	0.18360726748193	FILTER=FAIL
HTR3A	.	.	.	0.00089390651605312	0.18360726748193	FILTER=FAIL
NEFM	.	.	.	0.000900337397124301	0.18360726748193	FILTER=FAIL
HDX	.	.	.	0.000898583807031968	0.18360726748193	FILTER=FAIL
LGALS13	.	.	.	0.000955437156177852	0.192235205180066	FILTER=FAIL
FRAS1	.	.	.	0.000973328464650237	0.193530143054622	FILTER=FAIL
PCDHGB4	.	.	.	0.00100366973861059	0.197455452556688	FILTER=FAIL
ANKRD11	.	.	.	0.00100962134165616	0.197455452556688	FILTER=FAIL
PRDM9	.	.	.	0.00103253278946537	0.200294572005234	FILTER=FAIL
CPXCR1	.	.	.	0.00106201559282346	0.20435235519974	FILTER=FAIL
AMER1	.	.	.	0.00110834647208059	0.209882117649547	FILTER=FAIL
